,Domain,Phylum,Class,Order,Family,Genus,species,FamGenSpASV,PhyOrdFam
ASV2194,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; ASV2194,Proteobacteria; Xanthomonadales; Xanthomonadaceae
ASV2195,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,,uncultured_Firmicutes,Oscillospirales; Ruminococcaceae; uncultured_Firmicutes; ASV2195,Firmicutes; Oscillospirales; Ruminococcaceae
ASV2196,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,Burkholderiales; Comamonadaceae; ASV2196,Proteobacteria; Burkholderiales; Comamonadaceae
ASV2197,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,Legionellales; Legionellaceae; Legionella; ASV2197,Proteobacteria; Legionellales; Legionellaceae
ASV2198,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,,Alteromonadales; Alteromonadaceae; Glaciecola; ASV2198,Proteobacteria; Alteromonadales; Alteromonadaceae
ASV2199,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,,metagenome,Pirellulales; Pirellulaceae; metagenome; ASV2199,Planctomycetota; Pirellulales; Pirellulaceae
ASV2200,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,uncultured_bacterium,Coxiellales; Coxiellaceae; Coxiella; uncultured_bacterium; ASV2200,Proteobacteria; Coxiellales; Coxiellaceae
ASV2201,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,,Sphingomonadales; Sphingomonadaceae; Sphingopyxis; ASV2201,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV2202,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,Lactobacillales; Streptococcaceae; Lactococcus; ASV2202,Firmicutes; Lactobacillales; Streptococcaceae
ASV2203,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,,Gemmatales; Gemmataceae; Fimbriiglobus; ASV2203,Planctomycetota; Gemmatales; Gemmataceae
ASV2204,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV2204,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV2205,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium_halperniae,Flavobacteriales; Weeksellaceae; Chryseobacterium; Chryseobacterium_halperniae; ASV2205,Bacteroidota; Flavobacteriales; Weeksellaceae
ASV2206,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,Lachnospirales; Lachnospiraceae; ASV2206,Firmicutes; Lachnospirales; Lachnospiraceae
ASV2207,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,,Rhizobiales; Rhizobiaceae; ASV2207,Proteobacteria; Rhizobiales; Rhizobiaceae
ASV2208,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Empedobacter,Empedobacter_brevis,Flavobacteriales; Weeksellaceae; Empedobacter; Empedobacter_brevis; ASV2208,Bacteroidota; Flavobacteriales; Weeksellaceae
ASV2209,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,,Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; ASV2209,Actinobacteriota; Pseudonocardiales; Pseudonocardiaceae
ASV2210,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,IMCC26256,IMCC26256,,IMCC26256; IMCC26256; IMCC26256; ASV2210,Actinobacteriota; IMCC26256; IMCC26256
ASV2211,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,,,uncultured_bacterium,Oligoflexales; uncultured_bacterium; ASV2211,Bdellovibrionota; Oligoflexales
ASV2212,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Frankia,,Frankiales; Frankiaceae; Frankia; ASV2212,Actinobacteriota; Frankiales; Frankiaceae
ASV2213,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV2213,Proteobacteria; Rhizobiales; Devosiaceae
ASV2214,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,Burkholderiales; Comamonadaceae; ASV2214,Proteobacteria; Burkholderiales; Comamonadaceae
ASV2215,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,,Lactobacillales; ASV2215,Firmicutes; Lactobacillales
ASV2216,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,Lactobacillales; Enterococcaceae; Enterococcus; ASV2216,Firmicutes; Lactobacillales; Enterococcaceae
ASV2217,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,JG30-KF-CM45,uncultured_soil,Thermomicrobiales; JG30-KF-CM45; JG30-KF-CM45; uncultured_soil; ASV2217,Chloroflexi; Thermomicrobiales; JG30-KF-CM45
ASV2218,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,67-14,metagenome,Solirubrobacterales; 67-14; 67-14; metagenome; ASV2218,Actinobacteriota; Solirubrobacterales; 67-14
ASV2219,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,,,,Chlamydiales; ASV2219,Verrucomicrobiota; Chlamydiales
ASV2220,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,Babeliaceae,uncultured_organism,Babeliales; Babeliaceae; Babeliaceae; uncultured_organism; ASV2220,Dependentiae; Babeliales; Babeliaceae
ASV2221,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,Corynebacteriales; Corynebacteriaceae; Corynebacterium; ASV2221,Actinobacteriota; Corynebacteriales; Corynebacteriaceae
ASV2222,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,uncultured_bacterium,Gemmatales; Gemmataceae; Fimbriiglobus; uncultured_bacterium; ASV2222,Planctomycetota; Gemmatales; Gemmataceae
ASV2223,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,,Planctomycetaceae,Pirellulales; Pirellulaceae; Planctomycetaceae; ASV2223,Planctomycetota; Pirellulales; Pirellulaceae
ASV2224,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV2224,Proteobacteria; Rhizobiales; Devosiaceae
ASV2225,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,Lactobacillales; Enterococcaceae; Enterococcus; ASV2225,Firmicutes; Lactobacillales; Enterococcaceae
ASV2226,Bacteria,Firmicutes,Bacilli,,,,,ASV2226,Firmicutes
ASV2227,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,Lactobacillales; Enterococcaceae; Enterococcus; ASV2227,Firmicutes; Lactobacillales; Enterococcaceae
ASV2228,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,Sphingobacteriales; Sphingobacteriaceae; Pedobacter; ASV2228,Bacteroidota; Sphingobacteriales; Sphingobacteriaceae
ASV2229,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,,Lactobacillales; Carnobacteriaceae; Carnobacterium; ASV2229,Firmicutes; Lactobacillales; Carnobacteriaceae
ASV2230,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,,Corynebacteriales; Nocardiaceae; Nocardia; ASV2230,Actinobacteriota; Corynebacteriales; Nocardiaceae
ASV2231,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsaceae,,,Cyanobacteriales; Chroococcidiopsaceae; ASV2231,Cyanobacteria; Cyanobacteriales; Chroococcidiopsaceae
ASV2232,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; ASV2232,Proteobacteria; Xanthomonadales; Xanthomonadaceae
ASV2233,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia_limi,Rhizobiales; Devosiaceae; Devosia; Devosia_limi; ASV2233,Proteobacteria; Rhizobiales; Devosiaceae
ASV2234,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,,,Pirellulales; Pirellulaceae; ASV2234,Planctomycetota; Pirellulales; Pirellulaceae
ASV2235,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,,Staphylococcales; Staphylococcaceae; Staphylococcus; ASV2235,Firmicutes; Staphylococcales; Staphylococcaceae
ASV2236,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,Flavobacteriales; Weeksellaceae; Chryseobacterium; ASV2236,Bacteroidota; Flavobacteriales; Weeksellaceae
ASV2237,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,,,Pirellulales; Pirellulaceae; ASV2237,Planctomycetota; Pirellulales; Pirellulaceae
ASV2238,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Pseudomonadales; Pseudomonadaceae; Pseudomonas; ASV2238,Proteobacteria; Pseudomonadales; Pseudomonadaceae
ASV2239,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacterales; Rhodobacteraceae; ASV2239,Proteobacteria; Rhodobacterales; Rhodobacteraceae
ASV2240,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,Pseudomonadales; Moraxellaceae; Acinetobacter; ASV2240,Proteobacteria; Pseudomonadales; Moraxellaceae
ASV2241,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV2241,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV2242,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_1; ASV2242,Firmicutes; Clostridiales; Clostridiaceae
ASV2243,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandaracinobacter,,Sphingomonadales; Sphingomonadaceae; Sandaracinobacter; ASV2243,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV2244,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Wohlfahrtiimonadaceae,Ignatzschineria,swine_effluent,Cardiobacteriales; Wohlfahrtiimonadaceae; Ignatzschineria; swine_effluent; ASV2244,Proteobacteria; Cardiobacteriales; Wohlfahrtiimonadaceae
ASV2245,Bacteria,Firmicutes,Clostridia,Clostridia,Hungateiclostridiaceae,,,Clostridia; Hungateiclostridiaceae; ASV2245,Firmicutes; Clostridia; Hungateiclostridiaceae
ASV2246,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV2246,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV2247,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,,Rhizobiales; Beijerinckiaceae; ASV2247,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV2248,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,LWQ8,uncultured_bacterium,Saccharimonadales; LWQ8; LWQ8; uncultured_bacterium; ASV2248,Patescibacteria; Saccharimonadales; LWQ8
ASV2249,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV2249,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV2250,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,Legionellales; Legionellaceae; Legionella; ASV2250,Proteobacteria; Legionellales; Legionellaceae
ASV2251,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV2251,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV2252,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,ASV2252,Proteobacteria
ASV2253,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; ASV2253,Proteobacteria; Xanthomonadales; Xanthomonadaceae
ASV2254,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,,,Corynebacteriales; Nocardiaceae; ASV2254,Actinobacteriota; Corynebacteriales; Nocardiaceae
ASV2255,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,,Corynebacteriales; Corynebacteriaceae; Lawsonella; ASV2255,Actinobacteriota; Corynebacteriales; Corynebacteriaceae
ASV2256,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,metagenome,Microtrichales; Ilumatobacteraceae; CL500-29_marine_group; metagenome; ASV2256,Actinobacteriota; Microtrichales; Ilumatobacteraceae
ASV2257,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera,,Burkholderiales; Methylophilaceae; Methylotenera; ASV2257,Proteobacteria; Burkholderiales; Methylophilaceae
ASV2258,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,IMCC26256,IMCC26256,uncultured_Acidimicrobiales,IMCC26256; IMCC26256; IMCC26256; uncultured_Acidimicrobiales; ASV2258,Actinobacteriota; IMCC26256; IMCC26256
ASV2259,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,,Rhizobiales; ASV2259,Proteobacteria; Rhizobiales
ASV2260,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,Lactobacillales; Streptococcaceae; Lactococcus; ASV2260,Firmicutes; Lactobacillales; Streptococcaceae
ASV2261,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,,Gemmatales; Gemmataceae; Fimbriiglobus; ASV2261,Planctomycetota; Gemmatales; Gemmataceae
ASV2262,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,,bacterium_endosymbiont,Burkholderiales; Burkholderiaceae; bacterium_endosymbiont; ASV2262,Proteobacteria; Burkholderiales; Burkholderiaceae
ASV2263,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,uncultured_bacterium,Erysipelotrichales; Erysipelotrichaceae; ZOR0006; uncultured_bacterium; ASV2263,Firmicutes; Erysipelotrichales; Erysipelotrichaceae
ASV2264,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,,,Oceanospirillales; Nitrincolaceae; ASV2264,Proteobacteria; Oceanospirillales; Nitrincolaceae
ASV2265,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,metagenome,Rhizobiales; Hyphomicrobiaceae; Pedomicrobium; metagenome; ASV2265,Proteobacteria; Rhizobiales; Hyphomicrobiaceae
ASV2266,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,Sphingomonadales; Sphingomonadaceae; Sphingomonas; ASV2266,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV2267,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV2267,Proteobacteria; Rhizobiales; Devosiaceae
ASV2268,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,uncultured_proteobacterium,0319-6G20; 0319-6G20; 0319-6G20; uncultured_proteobacterium; ASV2268,Bdellovibrionota; 0319-6G20; 0319-6G20
ASV2269,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacterales; Rhodobacteraceae; ASV2269,Proteobacteria; Rhodobacterales; Rhodobacteraceae
ASV2270,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV2270,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV2271,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,,Corynebacteriales; Mycobacteriaceae; Mycobacterium; ASV2271,Actinobacteriota; Corynebacteriales; Mycobacteriaceae
ASV2272,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,uncultured_planctomycete,Planctomycetales; Rubinisphaeraceae; SH-PL14; uncultured_planctomycete; ASV2272,Planctomycetota; Planctomycetales; Rubinisphaeraceae
ASV2273,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,,Rhizobiales; Rhizobiaceae; ASV2273,Proteobacteria; Rhizobiales; Rhizobiaceae
ASV2274,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,,Enterobacterales; ASV2274,Proteobacteria; Enterobacterales
ASV2275,Bacteria,Firmicutes,Bacilli,,,,,ASV2275,Firmicutes
ASV2276,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,,,Planctomycetales; Rubinisphaeraceae; ASV2276,Planctomycetota; Planctomycetales; Rubinisphaeraceae
ASV2277,Bacteria,Firmicutes,Bacilli,RsaHf231,RsaHf231,RsaHf231,bacterium_PM5-3,RsaHf231; RsaHf231; RsaHf231; bacterium_PM5-3; ASV2277,Firmicutes; RsaHf231; RsaHf231
ASV2278,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_1; ASV2278,Firmicutes; Clostridiales; Clostridiaceae
ASV2279,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,Sphingobacteriales; Sphingobacteriaceae; Pedobacter; ASV2279,Bacteroidota; Sphingobacteriales; Sphingobacteriaceae
ASV2280,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,Sphingobacteriales; Sphingobacteriaceae; Pedobacter; ASV2280,Bacteroidota; Sphingobacteriales; Sphingobacteriaceae
ASV2281,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_1; ASV2281,Firmicutes; Clostridiales; Clostridiaceae
ASV2282,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,Rhizobiales; Rhizobiaceae; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium; ASV2282,Proteobacteria; Rhizobiales; Rhizobiaceae
ASV2283,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV2283,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV2284,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV2284,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV2285,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Sporobacter,uncultured_Firmicutes,Oscillospirales; Oscillospiraceae; Sporobacter; uncultured_Firmicutes; ASV2285,Firmicutes; Oscillospirales; Oscillospiraceae
ASV2286,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,IMCC26256,IMCC26256,,IMCC26256; IMCC26256; IMCC26256; ASV2286,Actinobacteriota; IMCC26256; IMCC26256
ASV2287,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; ASV2287,Proteobacteria; Xanthomonadales; Xanthomonadaceae
ASV2288,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_1; ASV2288,Firmicutes; Clostridiales; Clostridiaceae
ASV2289,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,uncultured_bacterium,Corynebacteriales; Corynebacteriaceae; Lawsonella; uncultured_bacterium; ASV2289,Actinobacteriota; Corynebacteriales; Corynebacteriaceae
ASV2290,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,,Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium; ASV2290,Proteobacteria; Rhizobiales; Hyphomicrobiaceae
ASV2291,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,,,Chlamydiales; Parachlamydiaceae; ASV2291,Verrucomicrobiota; Chlamydiales; Parachlamydiaceae
ASV2292,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus_budaensis,Deinococcales; Deinococcaceae; Deinococcus; Deinococcus_budaensis; ASV2292,Deinococcota; Deinococcales; Deinococcaceae
ASV2293,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,Vibrionales; Vibrionaceae; Vibrio; ASV2293,Proteobacteria; Vibrionales; Vibrionaceae
ASV2294,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,,,Micrococcales; Microbacteriaceae; ASV2294,Actinobacteriota; Micrococcales; Microbacteriaceae
ASV2295,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,uncultured_Rhizobiales,Rhizobiales; Beijerinckiaceae; uncultured_Rhizobiales; ASV2295,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV2296,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,,Sphingomonadales; Sphingomonadaceae; Sphingopyxis; ASV2296,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV2297,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,,Chthoniobacterales; Chthoniobacteraceae; Candidatus_Udaeobacter; ASV2297,Verrucomicrobiota; Chthoniobacterales; Chthoniobacteraceae
ASV2298,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,,,Pirellulales; Pirellulaceae; ASV2298,Planctomycetota; Pirellulales; Pirellulaceae
ASV2299,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseococcus,Sediminicoccus_rosea,Acetobacterales; Acetobacteraceae; Roseococcus; Sediminicoccus_rosea; ASV2299,Proteobacteria; Acetobacterales; Acetobacteraceae
ASV2300,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Actinotalea,uncultured_bacterium,Micrococcales; Cellulomonadaceae; Actinotalea; uncultured_bacterium; ASV2300,Actinobacteriota; Micrococcales; Cellulomonadaceae
ASV2301,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Phreatobacter,uncultured_Alphaproteobacteria,Rhizobiales; Rhizobiales_Incertae_Sedis; Phreatobacter; uncultured_Alphaproteobacteria; ASV2301,Proteobacteria; Rhizobiales; Rhizobiales_Incertae_Sedis
ASV2302,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,,,Propionibacteriales; Nocardioidaceae; ASV2302,Actinobacteriota; Propionibacteriales; Nocardioidaceae
ASV2303,Bacteria,Firmicutes,Limnochordia,Limnochordia,Limnochordia,Hydrogenispora,uncultured_bacterium,Limnochordia; Limnochordia; Hydrogenispora; uncultured_bacterium; ASV2303,Firmicutes; Limnochordia; Limnochordia
ASV2304,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,,Sphingomonadales; Sphingomonadaceae; Sphingopyxis; ASV2304,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV2305,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV2305,Proteobacteria; Rhizobiales; Devosiaceae
ASV2306,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,,Cytophagales; Spirosomaceae; Dyadobacter; ASV2306,Bacteroidota; Cytophagales; Spirosomaceae
ASV2307,Bacteria,Proteobacteria,Alphaproteobacteria,,,,uncultured_Alphaproteobacteria,uncultured_Alphaproteobacteria; ASV2307,Proteobacteria
ASV2308,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,,Rhizobiales; ASV2308,Proteobacteria; Rhizobiales
ASV2309,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,Burkholderiales; Comamonadaceae; ASV2309,Proteobacteria; Burkholderiales; Comamonadaceae
ASV2310,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,Bacteroidales; Bacteroidaceae; Bacteroides; ASV2310,Bacteroidota; Bacteroidales; Bacteroidaceae
ASV2311,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,,,,Elsterales; ASV2311,Proteobacteria; Elsterales
ASV2312,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,,Xanthomonadales; Xanthomonadaceae; ASV2312,Proteobacteria; Xanthomonadales; Xanthomonadaceae
ASV2313,Bacteria,Planctomycetota,OM190,OM190,OM190,OM190,planctomycete_A-2,OM190; OM190; OM190; planctomycete_A-2; ASV2313,Planctomycetota; OM190; OM190
ASV2314,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,Lactobacillales; Streptococcaceae; Lactococcus; ASV2314,Firmicutes; Lactobacillales; Streptococcaceae
ASV2315,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV2315,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV2316,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV2316,Proteobacteria; Rhizobiales; Devosiaceae
ASV2317,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,uncultured_planctomycete,Planctomycetales; Rubinisphaeraceae; SH-PL14; uncultured_planctomycete; ASV2317,Planctomycetota; Planctomycetales; Rubinisphaeraceae
ASV2318,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV2318,Proteobacteria; Rhizobiales; Beijerinckiaceae
